1.1.a.1: Survey Date,Region P-CODE,Zone P-CODE,Woreda P-CODE,1.4.a.1: Site Open Date,1.5.e.1: Displacement Reason,1.5.b.1: Region (Largest IDP group) ,1.5.b.2: Zone (Largest IDP group),1.5.b.3: Woreda (Largest IDP group),1.5.c.1: Region (2nd largest IDP group),1.5.c.2: Zone (2nd largest IDP group),1.5.c.3: Woreda (2nd largest IDP group),2.1.a.1: Total HHs,2.1.b.1: Total Individuals,2.3.c.1: Date of arrival of first IDP group,2.3.c.2: Is date known for arrival of last IDP group,2.3.c.2: Date of arrival of last IDP group,2.3.b.4: Have IDPs been displaced previously?,2.3.j.1: IDPs leaving place of displacement?,2.3.e.7: Are there factors which are preventing the largest IDP group from returning?,2.3.e.7: Accessibility,2.3.e.7: Lack of food,2.3.e.7: House damaged/destroyed,2.3.e.7: Lack of safety/security,2.3.e.7: No livelihood,2.3.e.7: Basic infrastructures damaged/flooded,2.3.l.1: What durable solution do majority of IDPs perfer at the site?,2.3.l.2: What support do majority of the IDPs need to return or locally reintegrate?,2.3.l.2: Livelihood,2.3.l.2: Land/Resources,2.3.l.2: ID/Documentation,2.3.l.2: Access to services,2.3.l.2: Safety & Security,2.3.l.2: Livestock/Restocking
12 November 2017,ET04,ET0414,ET041414,10-01-2017,Conflict,ET04,ET0414,ET041407,,,,400,3480,10-01-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
10 November 2017,ET04,ET0414,ET041407,15-09-2017,Conflict,ET04,ET0414,ET041407,Oromia,Guji,Liben,500,4550,15-09-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
12 November 2017,ET04,ET0414,ET041414,09-01-2017,Conflict,ET04,ET0414,ET0414,,,,250,2125,09-01-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
14 November 2017,ET04,ET0414,ET041414,05-02-2017,Conflict,ET04,ET0414,ET0414,,,,250,2200,05-02-2017,No,,No,No,accessibility lack of food house damaged destroyed,Yes,Yes,Yes,No,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
08 November 2017,ET04,ET0414,ET041407,13-01-2017,Conflict,ET04,ET0414,ET041407,Oromia,Guji,Liben,680,5542,13-01-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
10 November 2017,ET04,ET0414,ET041407,13-01-2017,Conflict,ET04,ET0414,ET041407,,,,580,4930,13-01-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood access services safety and security,Yes,No,No,Yes,Yes,No
19 November 2017,ET04,ET0414,ET041412,10-09-2017,Other,ET04,ET0414,ET041413,,,,80,680,10-09-2017,No,,No,No,accessibility lack of food lack of security safety,Yes,Yes,No,Yes,No,No,Reintegration,land resources access services safety and security,No,Yes,No,Yes,Yes,No
10 November 2017,ET04,ET0409,ET040919,27-03-2017,Conflict,ET04,ET0409,ET040991,,,,150,750,27-03-2017,Yes,27-03-2017,No,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Relocation,,,,,,,
10 May 2017,ET04,ET0412,ET041222,02-10-2016,Other,ET05,ET15,ET051104,Somali,Dawa,Moyale,233,1869,02-10-2016,Yes,17-04-2017,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant
09 May 2017,ET04,ET0412,ET041222,07-09-2016,Other,ET05,ET15,ET051104,Somali,Dawa,Moyale,188,1137,07-09-2016,Yes,15-12-2016,No,No,lack of food lack of security safety,No,Yes,No,Yes,No,No,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant
09 May 2017,ET04,ET0412,ET041222,12-09-2016,Other,ET05,ET15,ET051104,Somali,Dawa,Moyale,232,2088,12-09-2016,Yes,17-02-2017,No,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant
10 May 2017,ET04,ET0412,ET041222,05-10-2016,Other,ET05,ET15,ET051104,Somali,Dawa,Moyale,54,351,05-10-2016,Yes,15-02-2017,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant
10 May 2017,ET04,ET0412,ET041222,23-09-2016,Other,ET05,ET15,ET051104,Somali,Dawa,Moyale,434,4535,23-09-2016,Yes,07-04-2017,No,No,Nothing ,No,No,No,No,No,No,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant
03 December 2017,ET04,ET0420,ET042002,10-04-2017,Other,ET04,ET0409,ET040901,Oromia,East Harerge,Malka Balo,324,2051,10-04-2017,Yes,14-04-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
03 December 2017,ET04,ET0420,ET042002,10-04-2017,Other,ET04,ET0410,ET041012,Oromia,West Harerge,Goba Koricha,289,1936,10-04-2017,Yes,14-04-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Relocation,,,,,,,
04 December 2017,ET04,ET0420,ET042002,30-04-2017,Other,ET04,ET0409,ET040904,Oromia,East Harerge,Meta,371,2367,30-04-2017,Yes,05-05-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
30 November 2017,ET04,ET0412,ET041220,01-03-2017,Drought,ET04,ET0412,ET041220,Oromia,Borena,Dhaas,387,3135,01-03-2017,Yes,24-09-2017,No,No,lack of food lack of security safety,No,Yes,No,Yes,No,No,Reintegration,livelihood land resources safety and security livestock restocking,Yes,Yes,No,No,Yes,Yes
02 December 2017,ET04,ET0412,ET041210,15-06-2012,Conflict,ET04,ET0412,ET041210,Oromia,Borena,Moyale,342,2257,15-06-2012,Yes,06-09-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Return,livelihood safety and security,Yes,No,No,No,Yes,No
27 July 2017,ET04,ET0412,ET041210,17-10-2016,Other,ET04,ET0412,ET041208,Oromia,Borena,Gamole,62,472,17-10-2016,Yes,20-02-2017,No,No,accessibility lack of security safety no livelihood unknown,Yes,No,No,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
28 July 2017,ET04,ET0412,ET041210,05-01-2017,Other,ET05,ET15,ET041210,Somali,Dawa,Moyale,1898,15706,05-01-2017,Yes,15-04-2017,Yes,No,lack of security safety no livelihood,No,No,No,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
28 July 2017,ET04,ET0412,ET041210,25-11-2016,Other,ET04,ET0412,ET0710,Oromia,Borena,Gamole,400,3040,25-11-2016,Yes,17-01-2017,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
11 November 2017,ET04,ET0422,ET042205,11-11-2016,Drought,ET04,ET0415,ET041594,Oromia,West Guji ,Bule Hora,1300,9393,11-11-2016,Yes,17-06-2017,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
11 November 2017,ET04,ET0422,ET042205,13-09-2016,Drought,ET04,ET0415,ET041594,Oromia,West Guji ,Dugeda Dawa,1468,12074,13-09-2016,Yes,04-07-2017,No,No,no livelihood basic infrastructures damage,No,No,No,No,Yes,Yes,Reintegration,livelihood land resources id documentation livestock restocking,Yes,Yes,Yes,No,No,Yes
22 November 2017,ET04,ET0422,ET042206,11-03-2017,Conflict,ET04,ET0415,ET041594,Oromia,West Guji ,Suro Barguda,60,504,11-03-2017,Yes,18-09-2017,No,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,livelihood land resources id documentation safety and security livestock restocking,Yes,Yes,Yes,No,Yes,Yes
27 November 2017,ET04,ET0414,ET041407,13-04-2017,Conflict,ET04,ET0414,ET041407,,,,250,2313,13-04-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,land resources access services safety and security,No,Yes,No,Yes,Yes,No
09 November 2017,ET04,ET0414,ET041407,11-04-2017,Conflict,ET04,ET0414,ET041407,Oromia,Guji,Liben,500,4550,11-04-2017,No,,No,No,accessibility lack of food house damaged destroyed,Yes,Yes,Yes,No,No,No,Return,livelihood land resources,Yes,Yes,No,No,No,No
27 November 2017,ET04,ET0414,ET041414,20-04-2017,Conflict,ET04,ET0414,ET0414,,,,30,238,20-04-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,land resources access services safety and security,No,Yes,No,Yes,Yes,No
26 November 2017,ET04,ET0414,ET041414,10-04-2017,Conflict,ET04,ET0414,ET0414,,,,250,2100,10-04-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,land resources access services safety and security,No,Yes,No,Yes,Yes,No
25 November 2017,ET04,ET0414,ET041414,10-04-2017,Conflict,ET04,ET0414,ET0414,,,,900,8010,10-04-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,land resources access services safety and security,No,Yes,No,Yes,Yes,No
11 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,111,555,02-12-2016,Yes,03-12-2016,No,No,accessibility lack of food house damaged destroyed,Yes,Yes,Yes,No,No,No,Return,Livelihood,Yes,No,No,No,No,No
07 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,60,300,02-12-2016,Yes,03-12-2016,No,No,no livelihood basic infrastructures damage,No,No,No,No,Yes,Yes,Return,livelihood access services,Yes,No,No,Yes,No,No
07 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,150,750,02-12-2016,Yes,03-12-2017,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Return,livelihood access services,Yes,No,No,Yes,No,No
11 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,182,910,02-12-2016,Yes,03-12-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Return,Livelihood,Yes,No,No,No,No,No
08 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,142,710,02-12-2016,Yes,03-12-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Return,Livelihood,Yes,No,No,No,No,No
07 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,243,1215,02-12-2016,Yes,03-12-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Return,livelihood access services,Yes,No,No,Yes,No,No
10 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,200,1000,02-12-2016,Yes,03-12-2016,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood access services,Yes,No,No,Yes,No,No
15 November 2017,ET04,ET0408,ET040803,01-05-2016,Flash Flood,ET04,ET0408,ET0408,,,,67,335,01-05-2016,Yes,02-05-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Relocation,,,,,,,
20 November 2017,ET04,ET0411,ET041117,02-04-2017,Conflict,ET04,ET0411,ET042104,,,,633,2613,02-04-2017,Yes,17-09-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Return,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
15 November 2017,ET04,ET0411,ET041107,21-03-2017,Conflict,ET04,ET0411,ET042102,,,,421,2526,21-03-2017,Yes,22-03-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Return,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
15 November 2017,ET04,ET0411,ET041107,04-03-2017,Conflict,ET04,ET0411,ET042102,,,,465,2795,04-03-2017,Yes,18-03-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Return,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
18 September 2017,ET04,ET0410,ET041019,12-03-2017,Conflict,ET04,ET0410,ET041098,Oromia,East Harerge,Kumbi,5972,29860,12-03-2017,Yes,15-09-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Return,livelihood safety and security livestock restocking,Yes,No,No,No,Yes,Yes
23 November 2017,ET04,ET0410,ET041015,16-09-2017,Conflict,ET05,ET0502,ET040210,,,,309,2424,16-09-2017,Yes,24-11-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
14 July 2017,ET04,ET0410,ET041015,15-03-2017,Conflict,ET04,ET0410,ET041015,,,,400,2000,15-03-2017,Yes,18-03-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Unknown,,,,,,,
16 November 2017,ET04,ET0409,ET040901,24-03-2017,Conflict,ET04,ET0409,ET040901,Oromia,West Harerge,Mieso,278,1390,24-03-2017,Yes,24-03-2017,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,livelihood safety and security,Yes,No,No,No,Yes,No
19 November 2017,ET04,ET0409,ET040902,16-09-2017,Conflict,ET04,ET0409,ET040902,,,,89,445,16-09-2017,Yes,16-09-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
26 November 2017,ET04,ET0417,ET041702,15-05-2017,Seasonal Flood,ET04,ET0417,ET041702,,,,53,235,15-05-2017,Yes,15-05-2017,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
25 November 2017,ET04,ET0420,ET042003,04-05-2017,Other,ET04,ET0410,ET041009,Oromia,Arsi,Gololcha Arsi,537,2835,04-05-2017,Yes,04-05-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Relocation,,,,,,,
24 July 2017,ET04,ET0412,ET041224,15-03-2017,Drought,ET04,ET0412,ET041298,Oromia,Borena,Wachile,400,3420,15-03-2017,Yes,05-07-2017,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
26 July 2017,ET04,ET0412,ET041224,10-10-2016,Other,ET04,ET0412,ET041298,Oromia,Borena,Wachile,750,5590,10-10-2016,Yes,06-05-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
25 July 2017,ET04,ET0412,ET041224,20-02-2017,Other,ET04,ET0412,ET041298,,,,514,4086,20-02-2017,Yes,27-06-2017,No,Unknown,,,,,,,,Relocation,,,,,,,
05 December 2017,ET04,ET0412,ET041224,14-09-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,604,5224,14-09-2017,Yes,27-09-2017,Yes,Yes,,,,,,,,Reintegration,livelihood safety and security,Yes,No,No,No,Yes,No
26 July 2017,ET04,ET0412,ET041224,21-03-2017,Drought,ET04,ET0412,ET041298,Oromia,Borena,Wachile,230,2783,21-03-2017,Yes,01-07-2017,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
24 July 2017,ET04,ET0412,ET041224,23-01-2017,Other,ET05,ET15,ET051104,Somali,Dawa,Hudet,700,5285,23-01-2017,Yes,18-06-2017,No,No,accessibility house damaged destroyed lack of security safety,Yes,No,Yes,Yes,No,No,Reintegration,livelihood land resources safety and security livestock restocking,Yes,Yes,No,No,Yes,Yes
01 October 2017,ET04,ET0412,ET041224,20-01-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,616,5298,20-01-2017,Yes,20-09-2017,Yes,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,livelihood id documentation safety and security,Yes,No,Yes,No,Yes,No
25 July 2017,ET04,ET0412,ET041224,12-01-2017,Other,ET05,ET15,ET051104,Somali,Dawa,Hudet,500,5550,12-01-2017,Yes,17-06-2017,No,No,accessibility house damaged destroyed lack of security safety no livelihood,Yes,No,Yes,Yes,Yes,No,Reintegration,livelihood land resources id documentation safety and security livestock restocking,Yes,Yes,Yes,No,Yes,Yes
25 July 2017,ET04,ET0412,ET041224,07-01-2017,Other,ET04,ET0412,ET041298,Oromia,Borena,Wachile,405,2592,07-01-2017,Yes,15-06-2017,No,No,lack of security safety no livelihood,No,No,No,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
25 July 2017,ET04,ET0412,ET041224,20-04-2017,Other,ET04,ET0412,ET041298,Oromia,Borena,Wachile,232,2389,20-04-2017,Yes,15-05-2017,No,No,accessibility lack of food lack of security safety no livelihood,Yes,Yes,No,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
13 November 2017,ET04,ET0422,ET042204,22-04-2017,Drought,ET04,ET0414,ET041502,Oromia,West Guji ,Melka Soda,118,974,22-04-2017,Yes,20-09-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
08 November 2017,ET04,ET0422,ET042205,06-06-2017,Conflict,ET04,ET0415,ET040500,SNNPR,Segen Peoples',Amaro,761,5327,06-06-2017,Yes,02-07-2017,No,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
15 July 2017,ET04,ET0410,ET041015,13-03-2017,Conflict,ET04,ET0410,ET041015,,,,200,999,13-03-2017,Yes,17-03-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Unknown,,,,,,,
14 July 2017,ET04,ET0410,ET041015,10-03-2017,Conflict,ET04,ET0410,ET041015,,,,200,1000,10-03-2017,Yes,12-03-2017,Yes,Yes,,,,,,,,Unknown,,,,,,,
07 November 2017,ET04,ET0410,ET041004,10-10-2015,Conflict,ET04,ET0410,ET041000,Somali,Fafan,Tog-Wajale,461,2304,10-10-2015,Yes,15-09-2017,Yes,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Return,Safety and Security,No,No,No,No,Yes,No
28 November 2017,ET04,ET0411,ET041113,08-06-2017,Conflict,ET04,ET0411,ET041113,,,,1206,9812,08-06-2017,Yes,21-10-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security livestock restocking,Yes,Yes,No,No,Yes,Yes
25 November 2017,ET04,ET0411,ET041121,12-09-2017,Conflict,ET04,ET0411,ET020503,,,,232,1826,12-09-2017,Yes,16-09-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Return,livelihood safety and security,Yes,No,No,No,Yes,No
14 November 2017,ET04,ET0411,ET041107,16-06-2017,Conflict,ET05,ET0504,ET050407,,,,1008,7364,16-06-2017,Yes,18-06-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Return,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
08 November 2017,ET04,ET0408,ET040815,02-12-2016,Other,ET04,ET0408,ET040815,,,,115,575,02-12-2016,Yes,03-12-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Return,livelihood access services,Yes,No,No,Yes,No,No
21 November 2017,ET04,ET0417,ET041702,03-07-2017,Seasonal Flood,ET04,ET0417,ET041702,,,,20,98,03-07-2017,Yes,03-07-2017,No,No,Accessibility,Yes,No,No,No,No,No,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
22 November 2017,ET04,ET0417,ET041702,09-07-2017,Flash Flood,ET04,ET0417,ET041702,,,,50,252,09-07-2017,Yes,09-09-2017,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
08 November 2017,ET04,ET0409,ET040901,06-07-2017,Conflict,ET04,ET0409,ET040901,,,,480,2400,06-07-2017,Yes,06-07-2017,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,access services safety and security,No,No,No,Yes,Yes,No
09 November 2017,ET04,ET0409,ET040919,28-03-2017,Conflict,ET04,ET0409,ET040991,,,,265,1325,28-03-2017,Yes,28-03-2017,Yes,No,house damaged destroyed lack of security safety no livelihood basic infrastructures damage,No,No,Yes,Yes,Yes,Yes,Relocation,,,,,,,
13 November 2017,ET04,ET0409,ET040919,27-02-2017,Conflict,ET04,ET0409,ET040991,,,,250,1250,27-02-2017,Yes,27-02-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
08 November 2017,ET04,ET0409,ET040919,26-03-2017,Conflict,ET04,ET0409,ET040991,,,,270,1350,26-03-2017,Yes,26-03-2017,Yes,No,accessibility house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,No,Yes,Yes,Yes,Yes,Relocation,,,,,,,
15 November 2017,ET04,ET0409,ET040919,26-03-2017,Conflict,ET04,ET0409,ET040991,,,,230,1150,26-03-2017,Yes,26-03-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
08 November 2017,ET04,ET0409,ET040919,09-03-2017,Conflict,ET04,ET0409,ET040991,,,,320,1600,09-03-2017,Yes,09-03-2017,Yes,No,lack of food house damaged destroyed lack of security safety no livelihood,No,Yes,Yes,Yes,Yes,No,Relocation,,,,,,,
21 November 2017,ET04,ET0414,ET041415,15-09-2017,Other,ET04,ET0414,ET041412,,,,30,260,15-09-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,land resources id documentation safety and security,No,Yes,Yes,No,Yes,No
20 November 2017,ET04,ET0414,ET041412,15-09-2017,Other,ET04,ET0414,ET041413,,,,70,581,15-09-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,land resources id documentation access services,No,Yes,Yes,Yes,No,No
08 November 2017,ET04,ET0414,ET041407,15-09-2017,Conflict,ET04,ET0414,ET041407,Oromia,Guji,Liben,70,588,15-09-2017,No,,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
22 November 2017,ET04,ET0414,ET041415,15-09-2017,Other,ET04,ET0412,ET041208,,,,30,241,15-09-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Reintegration,land resources id documentation safety and security,No,Yes,Yes,No,Yes,No
14 November 2017,ET04,ET0414,ET041414,15-09-2017,Conflict,ET04,ET0414,ET0414,Oromia,Guji,Gumi-Eldelo,200,1680,15-09-2017,No,,No,No,lack of food house damaged destroyed lack of security safety,No,Yes,Yes,Yes,No,No,Return,livelihood land resources safety and security,Yes,Yes,No,No,Yes,No
13 November 2017,ET04,ET0414,ET041414,12-09-2017,Conflict,ET04,ET0414,ET0414,Oromia,Guji,Gumi-Eldelo,600,5400,12-09-2017,No,,No,No,accessibility lack of food house damaged destroyed,Yes,Yes,Yes,No,No,No,Return,livelihood land resources,Yes,Yes,No,No,No,No
22 November 2017,ET04,ET0414,ET041415,12-09-2017,Other,ET04,ET0414,ET041405,Oromia,Guji,Odo Shakiso,40,330,12-09-2017,No,,No,No,lack of food lack of security safety no livelihood,No,Yes,No,Yes,Yes,No,Reintegration,land resources id documentation access services,No,Yes,Yes,Yes,No,No
30 September 2017,ET04,ET0412,ET041224,15-09-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,732,5673,15-09-2017,Yes,22-09-2017,Yes,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,livelihood id documentation safety and security,Yes,No,Yes,No,Yes,No
30 September 2017,ET04,ET0412,ET041224,22-09-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,840,5418,22-09-2017,Yes,26-09-2017,Yes,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Reintegration,livelihood safety and security livestock restocking,Yes,No,No,No,Yes,Yes
01 October 2017,ET04,ET0412,ET041224,07-09-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,966,7583,07-09-2017,Yes,22-09-2017,Yes,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Return,livelihood livestock restocking,Yes,No,No,No,No,Yes
05 December 2017,ET04,ET0412,ET041224,15-09-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,624,5398,15-09-2017,Yes,24-09-2017,Yes,Yes,,,,,,,,Reintegration,livelihood access services safety and security,Yes,No,No,Yes,Yes,No
06 December 2017,ET04,ET0412,ET041224,12-09-2017,Conflict,ET04,ET0412,ET041298,Oromia,Borena,Wachile,724,5321,12-09-2017,Yes,22-09-2017,Yes,Yes,,,,,,,,Reintegration,livelihood access services safety and security livestock restocking,Yes,No,No,Yes,Yes,Yes
17 November 2017,ET04,ET0422,ET042202,21-01-2017,Drought,ET04,ET0415,ET041513,Oromia,West Guji ,Abaya,260,2249,21-01-2017,Yes,05-02-2017,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Reintegration,livelihood land resources access services,Yes,Yes,No,Yes,No,No
16 November 2017,ET04,ET0422,ET042202,13-12-2016,Drought,ET04,ET0415,ET041513,Oromia,West Guji ,Galana,742,5415,13-12-2016,Yes,07-10-2017,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood land resources access services,Yes,Yes,No,Yes,No,No
